
# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# DAAG
DAAG,27,SADAF,SADAF,2
DAAG,27,SADAF,MOGIL,1
DAAG,27,SADAF,PECES,1
DAAG,27,SADAF,OTARO,1
DAAG,27,SADAF,BOURI,1
DAAG,27,SADAF,BJA,1
DAAG,27,SADAF,BABOR,1
DAAG,27,SADAF,TAGRO,1
DAAG,27,SADAF,BSA,1
DAAG,27,SADAF,CHE,1
DAAG,27,SADAF,LABRO,1
DAAG,27,LABRO,SADAF,1
DAAG,27,LABRO,MOGIL,1
DAAG,27,LABRO,PECES,1
DAAG,27,LABRO,OTARO,1
DAAG,27,LABRO,BOURI,1
DAAG,27,LABRO,BJA,1
DAAG,27,LABRO,BABOR,1
DAAG,27,LABRO,TAGRO,1
DAAG,27,LABRO,BSA,1
DAAG,27,LABRO,CHE,1
DAAG,27,LABRO,LABRO,2
DAAG,27,CHE,SADAF,1
DAAG,27,CHE,MOGIL,1
DAAG,27,CHE,PECES,1
DAAG,27,CHE,OTARO,1
DAAG,27,CHE,BOURI,1
DAAG,27,CHE,BJA,1
DAAG,27,CHE,BABOR,1
DAAG,27,CHE,TAGRO,1
DAAG,27,CHE,BSA,1
DAAG,27,CHE,CHE,2
DAAG,27,CHE,LABRO,1
DAAG,27,BSA,SADAF,1
DAAG,27,BSA,MOGIL,1
DAAG,27,BSA,PECES,1
DAAG,27,BSA,OTARO,1
DAAG,27,BSA,BOURI,1
DAAG,27,BSA,BJA,1
DAAG,27,BSA,BABOR,1
DAAG,27,BSA,TAGRO,1
DAAG,27,BSA,BSA,2
DAAG,27,BSA,CHE,1
DAAG,27,BSA,LABRO,1
DAAG,27,TAGRO,SADAF,1
DAAG,27,TAGRO,MOGIL,1
DAAG,27,TAGRO,PECES,1
DAAG,27,TAGRO,OTARO,1
DAAG,27,TAGRO,BOURI,1
DAAG,27,TAGRO,BJA,2
DAAG,27,TAGRO,BABOR,2
DAAG,27,TAGRO,TAGRO,2
DAAG,27,TAGRO,BSA,1
DAAG,27,TAGRO,CHE,1
DAAG,27,TAGRO,LABRO,1
DAAG,27,BOURI,SADAF,1
DAAG,27,BOURI,MOGIL,1
DAAG,27,BOURI,PECES,1
DAAG,27,BOURI,OTARO,1
DAAG,27,BOURI,BOURI,2
DAAG,27,BOURI,BJA,1
DAAG,27,BOURI,BABOR,1
DAAG,27,BOURI,TAGRO,1
DAAG,27,BOURI,BSA,1
DAAG,27,BOURI,CHE,1
DAAG,27,BOURI,LABRO,1
DAAG,27,OTARO,SADAF,1
DAAG,27,OTARO,MOGIL,1
DAAG,27,OTARO,PECES,1
DAAG,27,OTARO,OTARO,2
DAAG,27,OTARO,BOURI,1
DAAG,27,OTARO,BJA,1
DAAG,27,OTARO,BABOR,1
DAAG,27,OTARO,TAGRO,1
DAAG,27,OTARO,BSA,1
DAAG,27,OTARO,CHE,1
DAAG,27,OTARO,LABRO,1
DAAG,27,PECES,SADAF,1
DAAG,27,PECES,MOGIL,1
DAAG,27,PECES,PECES,2
DAAG,27,PECES,OTARO,1
DAAG,27,PECES,BOURI,1
DAAG,27,PECES,BJA,1
DAAG,27,PECES,BABOR,1
DAAG,27,PECES,TAGRO,1
DAAG,27,PECES,BSA,1
DAAG,27,PECES,CHE,1
DAAG,27,PECES,LABRO,1
DAAG,27,MOGIL,SADAF,1
DAAG,27,MOGIL,MOGIL,2
DAAG,27,MOGIL,PECES,1
DAAG,27,MOGIL,OTARO,1
DAAG,27,MOGIL,BOURI,1
DAAG,27,MOGIL,BJA,1
DAAG,27,MOGIL,BABOR,1
DAAG,27,MOGIL,TAGRO,1
DAAG,27,MOGIL,BSA,1
DAAG,27,MOGIL,CHE,1
DAAG,27,MOGIL,LABRO,1
DAAG,23,SADAF,SADAF,2
DAAG,23,SADAF,MOGIL,1
DAAG,23,SADAF,PECES,1
